,learning_rate,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,0.01,50,23,0.6724890829694323,0.6763485477178424,0.6745934062253673,0.676711668273867,0.6724890829694323,0.6763485477178424,0.6763151252529503,0.678285190683307,0.6743848196781242,0.6771998894874983,0.6724890829694323,0.6763485477178424,0.6724890829694323,0.6763485477178424,0.6724793243634621,0.6762091773460108,0.6724890829694323,0.6763485477178424,0.6723914969097305,0.6765715403127728
1,0.1,50,23,0.7276200873362445,0.7136929460580913,0.7272078745604427,0.7166735880398671,0.7276200873362445,0.7136929460580913,0.7274397442468312,0.7189529024965192,0.7260203027128027,0.7162246166597597,0.7276200873362445,0.7136929460580913,0.7276200873362445,0.7136929460580913,0.7263460834419216,0.7136732269228783,0.7276200873362445,0.7136929460580913,0.7272633662458341,0.7135450525439935
2,0.1,30,23,0.7074235807860262,0.6929460580912863,0.7073970121148196,0.6953816371681416,0.7074235807860262,0.6929460580912863,0.7085926023191145,0.6974924723680829,0.7078985127193617,0.6951927061748859,0.7074235807860262,0.6929460580912863,0.7074235807860262,0.6929460580912863,0.707239003633753,0.6929407713498623,0.7074235807860262,0.6929460580912863,0.7076001328447223,0.6928720437113496
3,1.0,100,23,0.767467248908297,0.7427385892116183,0.7672476785720714,0.7453678097345133,0.767467248908297,0.7427385892116183,0.7673794207738067,0.7476464675210223,0.7660982687618498,0.7451305428926647,0.767467248908297,0.7427385892116183,0.767467248908297,0.7427385892116183,0.7664652596905164,0.7427341597796143,0.767467248908297,0.7427385892116183,0.7672167516038518,0.7426765771635632
4,0.1,100,23,0.7472707423580786,0.7302904564315352,0.748139534883721,0.7356237816764133,0.7472707423580786,0.7302904564315352,0.7478025033004976,0.7383971108037498,0.7447507917866841,0.7337684763088825,0.7472707423580786,0.7302904564315352,0.7472707423580786,0.7302904564315352,0.7453036555532635,0.7301231802911534,0.7472707423580786,0.7302904564315352,0.7464032692950855,0.7297607486536594
5,0.01,30,23,0.6462882096069869,0.6680497925311203,0.6487158045031034,0.6857875457875457,0.6462882096069869,0.6680497925311203,0.6482077032457767,0.6896958643016734,0.640862763744712,0.6751623152369112,0.6462882096069869,0.6680497925311203,0.6462882096069869,0.6680497925311203,0.639017412753784,0.6649986099527384,0.6462882096069869,0.6680497925311203,0.6415342270491234,0.663274028495392
6,1.0,50,23,0.7603711790393013,0.6929460580912863,0.7654514404514405,0.7079668348954578,0.7603711790393013,0.6929460580912863,0.7641525099767459,0.7117956603553447,0.7562700784080876,0.6992333195192706,0.7603711790393013,0.6929460580912863,0.7603711790393013,0.6929460580912863,0.7568325168267479,0.691025641025641,0.7603711790393013,0.6929460580912863,0.7582736009857063,0.6897116714544099
7,0.01,100,23,0.6954148471615721,0.7012448132780082,0.6956139817665407,0.7037126659292036,0.6954148471615721,0.7012448132780082,0.6968941327984819,0.7058514715602394,0.6960757725818996,0.7035156789611825,0.6954148471615721,0.7012448132780082,0.6954148471615721,0.7012448132780082,0.6952837443886037,0.7012396694214875,0.6954148471615721,0.7012448132780082,0.6955942509561603,0.7011727992867185
8,1.0,30,23,0.7510917030567685,0.7551867219917012,0.7505333169021078,0.7583748615725361,0.7510917030567685,0.7551867219917012,0.7509741480768399,0.7608128506637626,0.7501669591687763,0.7578394805912418,0.7510917030567685,0.7551867219917012,0.7510917030567685,0.7551867219917012,0.7503177098588687,0.7551698607021713,0.7510917030567685,0.7551867219917012,0.7510006450334863,0.7550602623202263
