,alpha,fit_intercept,loss,penalty,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,0.001,True,log_loss,l2,23,0.7237825394014521,0.7335600907029478,0.7249393298131714,0.7345256508090586,0.7237825394014521,0.7335600907029478,0.7245832708160588,0.7342460077182178,0.7216183819585502,0.732211238298465,0.7237825394014521,0.7335600907029478,0.7237825394014521,0.7335600907029478,0.7218458475027039,0.7323624850376336,0.7237825394014521,0.7335600907029478,0.7227574736978277,0.7329003926669697
1,0.0001,True,perceptron,elasticnet,23,0.7217283513369931,0.7315759637188208,0.7269423530572342,0.7378429319371728,0.7217283513369931,0.7315759637188208,0.7287331018673139,0.7392503442912942,0.7243203337170991,0.7337968539866518,0.7217283513369931,0.7315759637188208,0.7217283513369931,0.7315759637188208,0.72133560003222,0.7308518004284922,0.7217283513369931,0.7315759637188208,0.7209246932426034,0.7304323397248046
2,0.0001,True,hinge,elasticnet,23,0.7654683902957322,0.768140589569161,0.7651762323786542,0.7679629602807911,0.7654683902957322,0.768140589569161,0.765390946182524,0.7680994001689593,0.7648273659671805,0.7677947123842069,0.7654683902957322,0.768140589569161,0.7654683902957322,0.768140589569161,0.7649632179813297,0.7678629976109846,0.7654683902957322,0.768140589569161,0.7653912058321107,0.7681041840664493
3,0.01,True,perceptron,,23,0.7286700903134408,0.7332766439909297,0.7283839167416093,0.7333157508041264,0.7286700903134408,0.7332766439909297,0.7285506884132652,0.733298185879555,0.7276977401232152,0.7324815922868859,0.7286700903134408,0.7332766439909297,0.7286700903134408,0.7332766439909297,0.7278959684452699,0.7326485601861817,0.7286700903134408,0.7332766439909297,0.7284660223309283,0.7330378986850314
4,0.001,True,log_loss,,23,0.7572162210023021,0.7627551020408163,0.7573020180432768,0.7630866826368556,0.7572162210023021,0.7627551020408163,0.7581152566624305,0.7636724750231917,0.757695151733849,0.7632482299935637,0.7572162210023021,0.7627551020408163,0.7572162210023021,0.7627551020408163,0.7571412762070711,0.7627450184814629,0.7572162210023021,0.7627551020408163,0.7573088443076985,0.7627914905376135
5,0.001,False,log_loss,elasticnet,23,0.7098282273773685,0.7140022675736961,0.7097157376153688,0.71398683549405,0.7098282273773685,0.7140022675736961,0.7097662237125187,0.7139935395942242,0.7084310838768408,0.7131557049194777,0.7098282273773685,0.7140022675736961,0.7098282273773685,0.7140022675736961,0.7086572873900223,0.7132968416399952,0.7098282273773685,0.7140022675736961,0.709382746857043,0.7137241282055512
6,0.001,False,hinge,l1,23,0.7204179210200107,0.7304421768707483,0.7199989910548584,0.7301970960630975,0.7204179210200107,0.7304421768707483,0.7203036424196806,0.7304210492149164,0.7196961430485835,0.7301560011669772,0.7204179210200107,0.7304421768707483,0.7204179210200107,0.7304421768707483,0.7198083122405117,0.7301750787307824,0.7204179210200107,0.7304421768707483,0.7203216426402569,0.7304301454230021
7,0.01,True,hinge,,23,0.727572162210023,0.7341269841269841,0.727149913074232,0.7338959652001771,0.727572162210023,0.7341269841269841,0.7275076474451964,0.7341680541584165,0.7270119084001627,0.7339549491506124,0.727572162210023,0.7341269841269841,0.727572162210023,0.7341269841269841,0.7270717527586656,0.7339216767788197,0.727572162210023,0.7341269841269841,0.7275307718501093,0.7341437439105077
8,0.001,True,squared_error,l2,23,0.4613423056490172,0.44841269841269843,0.4607365121520847,0.44745124442778494,0.4613423056490172,0.44841269841269843,0.46155282440979806,0.44798763454568397,0.46070925647595845,0.4475563119534418,0.4613423056490172,0.44841269841269843,0.4613423056490172,0.44841269841269843,0.4607110574029515,0.4474402972101139,0.4613423056490172,0.44841269841269843,0.4614357513003499,0.4481367467200731
9,0.0001,False,hinge,l1,23,0.765397556224544,0.7704081632653061,0.765253311635205,0.7703383782651771,0.765397556224544,0.7704081632653061,0.7653394544728878,0.7703799356248046,0.7645139983883924,0.7698938559040582,0.765397556224544,0.7704081632653061,0.765397556224544,0.7704081632653061,0.7647485647382042,0.7700356170865448,0.765397556224544,0.7704081632653061,0.7652338860857097,0.7703137149382961
10,0.0001,False,perceptron,l1,23,0.6347795289534266,0.6252834467120182,0.6366658664613002,0.6272112771500776,0.6347795289534266,0.6252834467120182,0.6363123176534191,0.6269151176914772,0.6308658718218811,0.6224558821211579,0.6347795289534266,0.6252834467120182,0.6347795289534266,0.6252834467120182,0.6290368909836919,0.6204531435388554,0.6347795289534266,0.6252834467120182,0.6308497533544393,0.6217396061930144
11,0.001,True,hinge,elasticnet,23,0.7301576058083938,0.7409297052154195,0.7297980905664839,0.74071501341475,0.7301576058083938,0.7409297052154195,0.7300378394560078,0.7408752763082075,0.7293547429938609,0.7405421940392172,0.7301576058083938,0.7409297052154195,0.7301576058083938,0.7409297052154195,0.7295058141305839,0.7406092696820827,0.7301576058083938,0.7409297052154195,0.7300273415264651,0.7408831903799351
12,0.001,False,perceptron,l1,23,0.6052063042323358,0.5963718820861678,0.604282529521355,0.5957831833561718,0.6052063042323358,0.5963718820861678,0.6046797633928082,0.5960143021168369,0.6035722738131218,0.5953082244546039,0.6052063042323358,0.5963718820861678,0.6052063042323358,0.5963718820861678,0.6035151905547088,0.5952224721708359,0.6052063042323358,0.5963718820861678,0.604532243194887,0.5958705437188421
13,0.0001,True,hinge,l2,23,0.7655392243669205,0.7687074829931972,0.7652320816619175,0.7685134505057877,0.7655392243669205,0.7687074829931972,0.7654658642699123,0.7686766841856719,0.7649345337695062,0.7684132617235686,0.7655392243669205,0.7687074829931972,0.7655392243669205,0.7687074829931972,0.7650541083836113,0.7684571660942268,0.7655392243669205,0.7687074829931972,0.7654734331111951,0.7686859039501827
14,0.0001,False,squared_error,l1,23,0.5207366743403578,0.5116213151927438,0.520021835600132,0.5110265146247625,0.5207366743403578,0.5116213151927438,0.5207634222819939,0.5114643539317487,0.5200240269750493,0.5110180910402984,0.5207366743403578,0.5116213151927438,0.5207366743403578,0.5116213151927438,0.5200226699191968,0.5110074611707565,0.5207366743403578,0.5116213151927438,0.5207497873692127,0.5115280093814016
15,0.01,True,squared_error,,23,0.4948822383566496,0.49971655328798187,0.4950287209751752,0.49981873997284954,0.4948822383566496,0.49971655328798187,0.4957986225104594,0.500270064497682,0.4950213178799433,0.4998185845931358,0.4948822383566496,0.49971655328798187,0.4948822383566496,0.49971655328798187,0.49475447109797455,0.49964897839736644,0.4948822383566496,0.49971655328798187,0.49507004769011376,0.49982368421212825
16,0.001,False,perceptron,elasticnet,23,0.6628652381795643,0.6615646258503401,0.6663711376788823,0.6650531205945359,0.6628652381795643,0.6615646258503401,0.6657328118629666,0.6645233491863917,0.6588737643893101,0.6587357469087812,0.6628652381795643,0.6615646258503401,0.6628652381795643,0.6615646258503401,0.6572940078276176,0.657112716297197,0.6628652381795643,0.6615646258503401,0.6590102562888145,0.658286602895787
17,0.0001,True,hinge,,23,0.7714892863467327,0.7786281179138322,0.7711543653911095,0.7784351864601335,0.7714892863467327,0.7786281179138322,0.7714470583302634,0.7786114858919616,0.7710247539432082,0.7783854800769536,0.7714892863467327,0.7786281179138322,0.7714892863467327,0.7786281179138322,0.7710833429136118,0.7784087660239127,0.7714892863467327,0.7786281179138322,0.7714619730795758,0.77861823719807
18,0.0001,True,squared_error,l2,23,0.462758987072782,0.4594671201814059,0.4627735729496958,0.4595838020247469,0.462758987072782,0.4594671201814059,0.46354384616385885,0.4600255261459664,0.4627160748326542,0.45954983246415837,0.462758987072782,0.4594671201814059,0.462758987072782,0.4594671201814059,0.4625594826077801,0.4594010588607087,0.462758987072782,0.4594671201814059,0.4629661929969109,0.45958061014260365
19,0.01,False,squared_error,elasticnet,23,0.4951301576058084,0.5070861678004536,0.497065701377005,0.5085378090471023,0.4951301576058084,0.5070861678004536,0.49782553077249425,0.5090127287142159,0.49709058713523246,0.5084734504663566,0.4951301576058084,0.5070861678004536,0.4951301576058084,0.5070861678004536,0.49466352009974557,0.5066152104282599,0.4951301576058084,0.5070861678004536,0.4940603720878299,0.5061572151855761
20,0.001,False,squared_error,,23,0.4877988312378254,0.4861111111111111,0.48888577623907165,0.48676519082238856,0.4877988312378254,0.4861111111111111,0.48963216757429273,0.4871985186311099,0.48890502184924656,0.4867804780295971,0.4877988312378254,0.4861111111111111,0.4877988312378254,0.4861111111111111,0.48775770292496173,0.48608101121198644,0.4877988312378254,0.4861111111111111,0.48757742111086766,0.48596284123764516
21,0.001,False,log_loss,l2,23,0.7242075438285815,0.7355442176870748,0.7251456484205971,0.7362910163371174,0.7242075438285815,0.7355442176870748,0.724842425455705,0.7360581908756335,0.7221638618512052,0.7343079693793952,0.7242075438285815,0.7355442176870748,0.7242075438285815,0.7355442176870748,0.7224133277643272,0.734483391418365,0.7242075438285815,0.7355442176870748,0.7232898853040883,0.7349876406761375
22,0.01,False,squared_error,l2,23,0.47526120063750665,0.4736394557823129,0.47491355399534035,0.4735880526792773,0.47526120063750665,0.4736394557823129,0.4757019796112144,0.4740421134227587,0.4748823289892131,0.47356449430294506,0.47526120063750665,0.4736394557823129,0.47526120063750665,0.4736394557823129,0.47484065893436034,0.47349220701288075,0.47526120063750665,0.4736394557823129,0.47542436450230685,0.4737567556494877
23,0.01,True,hinge,l2,23,0.6847883832123252,0.6910430839002267,0.6856643804019034,0.6926732927632107,0.6847883832123252,0.6910430839002267,0.6854178742148335,0.692320635335708,0.6823285178476854,0.6891273307778636,0.6847883832123252,0.6910430839002267,0.6847883832123252,0.6910430839002267,0.6822471965237957,0.6888229306084004,0.6847883832123252,0.6910430839002267,0.6833633058456092,0.6896126495645534
24,0.001,False,log_loss,,23,0.7566495484327962,0.7587868480725624,0.7564042936938364,0.7586811909462517,0.7566495484327962,0.7587868480725624,0.7565625179553294,0.7587448253518706,0.7558486076849174,0.7582705643530948,0.7566495484327962,0.7587868480725624,0.7566495484327962,0.7587868480725624,0.756037697031305,0.7584009467201924,0.7566495484327962,0.7587868480725624,0.7565175719989525,0.7586910569567259
25,0.01,False,log_loss,,23,0.7176553922436693,0.7276077097505669,0.7179600425836444,0.7282472485561731,0.7176553922436693,0.7276077097505669,0.7178445358393597,0.7280454892901188,0.7159540766619944,0.7263813384018138,0.7176553922436693,0.7276077097505669,0.7176553922436693,0.7276077097505669,0.7162071618971746,0.7265346356246355,0.7176553922436693,0.7276077097505669,0.7170034372835219,0.72704932276196
