,alpha,fit_intercept,loss,penalty,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,0.001,True,log_loss,l2,23,0.7446153846153846,0.6511627906976745,0.7612179487179487,0.6702380952380952,0.7446153846153846,0.6511627906976745,0.7595759368836291,0.6717054263565891,0.7409232168574245,0.6547619047619048,0.7446153846153846,0.6511627906976745,0.7446153846153846,0.6511627906976745,0.7384242424242424,0.6442360728075014,0.7446153846153846,0.6511627906976745,0.739538648018648,0.6430816198258059
1,0.0001,True,perceptron,elasticnet,23,0.6892307692307692,0.6511627906976745,0.7644132653061224,0.6814516129032258,0.6892307692307692,0.6511627906976745,0.7685141287284144,0.6798574643660915,0.6964109755173198,0.6461038961038961,0.6892307692307692,0.6511627906976745,0.6892307692307692,0.6511627906976745,0.670236385007183,0.6312178387650085,0.6892307692307692,0.6511627906976745,0.6680447252890769,0.6332123339582751
2,0.0001,True,hinge,elasticnet,23,0.7107692307692308,0.6046511627906976,0.7551398945204255,0.6145320197044335,0.7107692307692308,0.6046511627906976,0.7582842722665731,0.6138732959101845,0.7163457894337906,0.6006493506493507,0.7107692307692308,0.6046511627906976,0.7107692307692308,0.6046511627906976,0.7009124373433584,0.5904761904761904,0.7107692307692308,0.6046511627906976,0.6994088586851746,0.5922480620155038
3,0.01,True,perceptron,,23,0.7169230769230769,0.5581395348837209,0.7509664658815067,0.5743589743589743,0.7169230769230769,0.5581395348837209,0.7485913457216163,0.5753130590339893,0.7115894792693095,0.5627705627705628,0.7169230769230769,0.5581395348837209,0.7169230769230769,0.5581395348837209,0.703561230964467,0.542296918767507,0.7169230769230769,0.5581395348837209,0.7053040804373292,0.5403165917529802
4,0.001,True,log_loss,,23,0.7538461538461538,0.6046511627906976,0.7807859703020994,0.6448863636363636,0.7538461538461538,0.6046511627906976,0.7785615817873883,0.6468023255813954,0.7493936178276359,0.6103896103896104,0.7538461538461538,0.6046511627906976,0.7538461538461538,0.6046511627906976,0.7454573934837092,0.5820468839336763,0.7538461538461538,0.6046511627906976,0.7467370348949295,0.5797864560479743
5,0.001,False,log_loss,elasticnet,23,0.7569230769230769,0.6744186046511628,0.7575503355704698,0.6811111111111111,0.7569230769230769,0.6744186046511628,0.7573412493546722,0.6820671834625324,0.7559690745092094,0.6764069264069263,0.7569230769230769,0.6744186046511628,0.7569230769230769,0.6744186046511628,0.7561751550317661,0.6728260869565217,0.7569230769230769,0.6744186046511628,0.7565491159774216,0.6722952477249747
6,0.001,False,hinge,l1,23,0.7292307692307692,0.6511627906976745,0.7331738250855897,0.660633484162896,0.7292307692307692,0.6511627906976745,0.732504249563073,0.6616857834368095,0.7271469718790268,0.6536796536796536,0.7292307692307692,0.6511627906976745,0.7292307692307692,0.6511627906976745,0.7267446304364442,0.6481178396072014,0.7292307692307692,0.6511627906976745,0.7274664126670546,0.6473566018345831
7,0.01,True,hinge,,23,0.7476923076923077,0.6744186046511628,0.7493477593615715,0.6811111111111111,0.7476923076923077,0.6744186046511628,0.7489450819285074,0.6820671834625324,0.7463048586371561,0.6764069264069263,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.7464223186420035,0.6728260869565217,0.7476923076923077,0.6744186046511628,0.7469192708790791,0.6722952477249747
8,0.001,True,squared_error,l2,23,0.5230769230769231,0.5348837209302325,0.5339162096556684,0.5345238095238095,0.5230769230769231,0.5348837209302325,0.53467243895186,0.5345514950166113,0.5285947093155461,0.5313852813852813,0.5230769230769231,0.5348837209302325,0.5230769230769231,0.5348837209302325,0.5062484685126194,0.5222222222222221,0.5230769230769231,0.5348837209302325,0.5037242003279739,0.5240310077519379
9,0.0001,False,hinge,l1,23,0.7230769230769231,0.627906976744186,0.7674006344467251,0.687878787878788,0.7230769230769231,0.627906976744186,0.7645714613805675,0.6904862579281185,0.7172364132494504,0.6341991341991342,0.7230769230769231,0.627906976744186,0.7230769230769231,0.627906976744186,0.7075,0.6018518518518519,0.7230769230769231,0.627906976744186,0.7093692307692309,0.599483204134367
10,0.0001,False,perceptron,l1,23,0.7107692307692308,0.6744186046511628,0.712934362934363,0.6760869565217391,0.7107692307692308,0.6744186046511628,0.7125013365013365,0.6766430738119312,0.709012355036762,0.6753246753246753,0.7107692307692308,0.6744186046511628,0.7107692307692308,0.6744186046511628,0.7087591519219036,0.6742424242424242,0.7107692307692308,0.6744186046511628,0.7094291782043459,0.6740662438336856
11,0.001,True,hinge,elasticnet,23,0.7569230769230769,0.6511627906976745,0.7579492471145761,0.6546052631578947,0.7569230769230769,0.6511627906976745,0.7576513267363989,0.6552937576499388,0.755798529523232,0.6525974025974026,0.7569230769230769,0.6511627906976745,0.7569230769230769,0.6511627906976745,0.7559990496555001,0.6504065040650406,0.7569230769230769,0.6511627906976745,0.7564148619259097,0.6500283607487238
12,0.001,False,perceptron,l1,23,0.64,0.627906976744186,0.6399526102575862,0.6400462962962963,0.64,0.627906976744186,0.6399663685698999,0.6411498708010336,0.6387857196998408,0.6309523809523809,0.64,0.627906976744186,0.64,0.627906976744186,0.6386315039201711,0.6228070175438596,0.64,0.627906976744186,0.6392473271560941,0.6217870257037944
13,0.0001,True,hinge,l2,23,0.7476923076923077,0.6744186046511628,0.7484348755535196,0.6811111111111111,0.7476923076923077,0.6744186046511628,0.7482044234586608,0.6820671834625324,0.7466459486091108,0.6764069264069263,0.7476923076923077,0.6744186046511628,0.7476923076923077,0.6744186046511628,0.746827025383797,0.6728260869565217,0.7476923076923077,0.6744186046511628,0.7472368959509862,0.6722952477249747
14,0.0001,False,squared_error,l1,23,0.39692307692307693,0.4883720930232558,0.3962962962962963,0.4807692307692308,0.39692307692307693,0.4883720930232558,0.3961937321937322,0.48121645796064405,0.399188963844463,0.48376623376623373,0.39692307692307693,0.4883720930232558,0.39692307692307693,0.4883720930232558,0.393887493339423,0.4649321266968326,0.39692307692307693,0.4883720930232558,0.39269965628494974,0.4675365673997685
15,0.01,True,squared_error,,23,0.4523076923076923,0.5348837209302325,0.452264636824964,0.5346320346320346,0.4523076923076923,0.5348837209302325,0.45265213616951855,0.5348837209302325,0.4522284544834382,0.5346320346320346,0.4523076923076923,0.5348837209302325,0.4523076923076923,0.5348837209302325,0.4521780303030303,0.5346320346320346,0.4523076923076923,0.5348837209302325,0.4524114219114219,0.5348837209302325
16,0.001,False,perceptron,elasticnet,23,0.7292307692307692,0.7209302325581395,0.7351796176379894,0.7228260869565217,0.7292307692307692,0.7209302325581395,0.7364247254441518,0.7234580384226491,0.7312400515424846,0.7218614718614718,0.7292307692307692,0.7209302325581395,0.7292307692307692,0.7209302325581395,0.7284878863826232,0.7207792207792207,0.7292307692307692,0.7209302325581395,0.7280945954630165,0.7206282090003021
17,0.0001,True,hinge,,23,0.6861538461538461,0.6046511627906976,0.7810105363984674,0.6683006535947713,0.6861538461538461,0.6046511627906976,0.7766769820218096,0.6708466332269343,0.6778973698173274,0.6114718614718615,0.6861538461538461,0.6046511627906976,0.6861538461538461,0.6046511627906976,0.6511113917655974,0.5712609970674487,0.6861538461538461,0.6046511627906976,0.6541733537995221,0.568478483257178
18,0.0001,True,squared_error,l2,23,0.5507692307692308,0.46511627906976744,0.5507271074755737,0.46413043478260874,0.5507692307692308,0.46511627906976744,0.5511062171184871,0.464459049544995,0.5507655574926098,0.4642857142857143,0.5507692307692308,0.46511627906976744,0.5507692307692308,0.46511627906976744,0.5506628787878788,0.46395663956639566,0.5507692307692308,0.46511627906976744,0.5508543123543124,0.46453645931808146
19,0.01,False,squared_error,elasticnet,23,0.47384615384615386,0.5348837209302325,0.46970416073406107,0.5358695652173913,0.47384615384615386,0.5348837209302325,0.47026054786852134,0.5361981799797776,0.4709694534980672,0.5357142857142857,0.47384615384615386,0.5348837209302325,0.47384615384615386,0.5348837209302325,0.46655340225185016,0.5346320346320346,0.47384615384615386,0.5348837209302325,0.46828063289260624,0.5343803483338367
20,0.001,False,squared_error,,23,0.5169230769230769,0.46511627906976744,0.5143210176632637,0.46600877192982454,0.5169230769230769,0.46511627906976744,0.5146031686673398,0.46618727050183595,0.5133972561206701,0.46645021645021645,0.5169230769230769,0.46511627906976744,0.5169230769230769,0.46511627906976744,0.5070476963355843,0.46395663956639566,0.5169230769230769,0.46511627906976744,0.508979836015746,0.4633768198147097
21,0.001,False,log_loss,l2,23,0.7446153846153846,0.6511627906976745,0.7612179487179487,0.6702380952380952,0.7446153846153846,0.6511627906976745,0.7595759368836291,0.6717054263565891,0.7409232168574245,0.6547619047619048,0.7446153846153846,0.6511627906976745,0.7446153846153846,0.6511627906976745,0.7384242424242424,0.6442360728075014,0.7446153846153846,0.6511627906976745,0.739538648018648,0.6430816198258059
22,0.01,False,squared_error,l2,23,0.48307692307692307,0.5813953488372093,0.48303415890327955,0.5826086956521739,0.48307692307692307,0.5813953488372093,0.4834190364660712,0.5830131445904954,0.4830212991738043,0.5822510822510822,0.48307692307692307,0.5813953488372093,0.48307692307692307,0.5813953488372093,0.4829545454545454,0.5811688311688312,0.48307692307692307,0.5813953488372093,0.4831748251748252,0.5809423135004531
23,0.01,True,hinge,l2,23,0.72,0.6511627906976745,0.7226541347567108,0.660633484162896,0.72,0.6511627906976745,0.7221458961862768,0.6616857834368095,0.718164935950883,0.6536796536796536,0.72,0.6511627906976745,0.72,0.6511627906976745,0.7179061626653694,0.6481178396072014,0.72,0.6511627906976745,0.7185791818086436,0.6473566018345831
24,0.001,False,log_loss,,23,0.7569230769230769,0.627906976744186,0.7653456731529822,0.6400462962962963,0.7569230769230769,0.627906976744186,0.764214279629562,0.6411498708010336,0.7542636246494353,0.6309523809523809,0.7569230769230769,0.627906976744186,0.7569230769230769,0.627906976744186,0.753553910981849,0.6228070175438596,0.7569230769230769,0.627906976744186,0.7543518713363503,0.6217870257037944
25,0.01,False,log_loss,,23,0.7323076923076923,0.6744186046511628,0.7396377155513368,0.6898148148148149,0.7323076923076923,0.6744186046511628,0.7386530855633845,0.6912144702842377,0.7296293488971424,0.6774891774891775,0.7323076923076923,0.6744186046511628,0.7323076923076923,0.6744186046511628,0.7285973450053274,0.6699561403508771,0.7323076923076923,0.6744186046511628,0.729476111471677,0.66906364749082
26,0.0001,True,log_loss,,23,0.7015384615384616,0.5813953488372093,0.7733333333333333,0.6227272727272727,0.7015384615384616,0.5813953488372093,0.7696410256410257,0.6245243128964059,0.6942317895853862,0.5876623376623377,0.7015384615384616,0.5813953488372093,0.7015384615384616,0.5813953488372093,0.6755385391257809,0.5520833333333333,0.7015384615384616,0.5813953488372093,0.6780820097965866,0.5494186046511628
27,0.0001,False,perceptron,elasticnet,23,0.7538461538461538,0.6744186046511628,0.7561764026783653,0.6811111111111111,0.7538461538461538,0.6744186046511628,0.7556648846420262,0.6820671834625324,0.7522928825892519,0.6764069264069263,0.7538461538461538,0.6744186046511628,0.7538461538461538,0.6744186046511628,0.7523809523809524,0.6728260869565217,0.7538461538461538,0.6744186046511628,0.7529084249084249,0.6722952477249747
28,0.0001,True,log_loss,l1,23,0.7169230769230769,0.6046511627906976,0.7827806122448979,0.6448863636363636,0.7169230769230769,0.6046511627906976,0.7791883830455258,0.6468023255813954,0.7100545743955128,0.6103896103896104,0.7169230769230769,0.6046511627906976,0.7169230769230769,0.6046511627906976,0.6950722036387371,0.5820468839336763,0.7169230769230769,0.6046511627906976,0.6973326388060825,0.5797864560479743
29,0.001,True,squared_error,,23,0.46153846153846156,0.5348837209302325,0.4456803856136448,0.5443349753694582,0.46153846153846156,0.5348837209302325,0.4467071675080574,0.5449650589987399,0.45558250587432725,0.538961038961039,0.46153846153846156,0.5348837209302325,0.46153846153846156,0.5348837209302325,0.43209617669672185,0.5222222222222221,0.46153846153846156,0.5348837209302325,0.43567699512341995,0.5204134366925064
30,0.0001,False,log_loss,elasticnet,23,0.72,0.6744186046511628,0.7382500201889688,0.7012820512820512,0.72,0.6744186046511628,0.7402778002099653,0.6997018485390578,0.7236223755021602,0.6699134199134199,0.72,0.6744186046511628,0.72,0.6744186046511628,0.716521772469783,0.6595022624434389,0.72,0.6744186046511628,0.7156522155872288,0.6611596337998528
31,0.0001,False,perceptron,,23,0.7292307692307692,0.627906976744186,0.7290433925049309,0.6502463054187192,0.7292307692307692,0.627906976744186,0.7291731148535883,0.6517355939970214,0.7288524217388008,0.6320346320346321,0.7292307692307692,0.627906976744186,0.7292307692307692,0.627906976744186,0.7289202305125873,0.6177777777777778,0.7292307692307692,0.627906976744186,0.7291743076456452,0.6163307493540052
32,0.001,True,squared_error,elasticnet,23,0.4553846153846154,0.4418604651162791,0.45647417363444553,0.43214285714285716,0.4553846153846154,0.4418604651162791,0.45664620914757664,0.43289036544850495,0.4577806412491473,0.4383116883116883,0.4553846153846154,0.4418604651162791,0.4553846153846154,0.4418604651162791,0.4523984045540652,0.42666666666666664,0.4553846153846154,0.4418604651162791,0.45127857549260897,0.4288372093023256
33,0.001,True,log_loss,l1,23,0.7076923076923077,0.6976744186046512,0.7242861913508098,0.7214285714285715,0.7076923076923077,0.6976744186046512,0.7227776564727642,0.7232558139534884,0.7036307132570303,0.7012987012987013,0.7076923076923077,0.6976744186046512,0.7076923076923077,0.6976744186046512,0.6993934319290422,0.6916712630998345,0.7076923076923077,0.6976744186046512,0.7007765778895865,0.690670737182365
34,0.01,False,perceptron,l2,23,0.6553846153846153,0.5581395348837209,0.7031039136302294,0.5838068181818181,0.6553846153846153,0.5581395348837209,0.7005626492266168,0.5850290697674418,0.6482983400288032,0.5638528138528138,0.6553846153846153,0.5581395348837209,0.6553846153846153,0.5581395348837209,0.6274461639236879,0.5328759291023442,0.6553846153846153,0.5581395348837209,0.6302714005882761,0.5303495685242066
35,0.01,True,log_loss,,23,0.7323076923076923,0.6744186046511628,0.7396377155513368,0.6898148148148149,0.7323076923076923,0.6744186046511628,0.7386530855633845,0.6912144702842377,0.7296293488971424,0.6774891774891775,0.7323076923076923,0.6744186046511628,0.7323076923076923,0.6744186046511628,0.7285973450053274,0.6699561403508771,0.7323076923076923,0.6744186046511628,0.729476111471677,0.66906364749082
36,0.0001,False,log_loss,,23,0.7015384615384616,0.5813953488372093,0.7733333333333333,0.6227272727272727,0.7015384615384616,0.5813953488372093,0.7696410256410257,0.6245243128964059,0.6942317895853862,0.5876623376623377,0.7015384615384616,0.5813953488372093,0.7015384615384616,0.5813953488372093,0.6755385391257809,0.5520833333333333,0.7015384615384616,0.5813953488372093,0.6780820097965866,0.5494186046511628
37,0.001,False,squared_error,elasticnet,23,0.5384615384615384,0.6046511627906976,0.5906326034063261,0.7004504504504505,0.5384615384615384,0.6046511627906976,0.5927381620812276,0.6973601508485229,0.5479989388311983,0.5963203463203464,0.5384615384615384,0.6046511627906976,0.5384615384615384,0.6046511627906976,0.4823521916411825,0.5411173885750157,0.5384615384615384,0.6046511627906976,0.47763271387124595,0.5450882494634958
38,0.0001,False,hinge,elasticnet,23,0.6984615384615385,0.6511627906976745,0.7130000000000001,0.6585648148148149,0.6984615384615385,0.6511627906976745,0.7147446153846154,0.6578919035314384,0.7018115667399378,0.6482683982683983,0.6984615384615385,0.6511627906976745,0.6984615384615385,0.6511627906976745,0.6953202724420295,0.6442360728075014,0.6984615384615385,0.6511627906976745,0.6944635635276181,0.6453905257891969
39,0.001,True,perceptron,elasticnet,23,0.6707692307692308,0.6744186046511628,0.7904145713234392,0.7532679738562091,0.6707692307692308,0.6744186046511628,0.7957718253781053,0.7501139990880072,0.6794701735768969,0.6677489177489178,0.6707692307692308,0.6744186046511628,0.6707692307692308,0.6744186046511628,0.6392971610534286,0.6416666666666666,0.6707692307692308,0.6744186046511628,0.6363466545175722,0.6441860465116279
40,0.0001,False,log_loss,l1,23,0.7046153846153846,0.6976744186046512,0.730192853564869,0.7204433497536946,0.7046153846153846,0.6976744186046512,0.7325180780148222,0.7189254210104251,0.7089934055938756,0.6937229437229437,0.7046153846153846,0.6976744186046512,0.7046153846153846,0.6976744186046512,0.6988416988416988,0.6868347338935574,0.7046153846153846,0.6976744186046512,0.6976869616869616,0.688189694482444
41,0.01,False,hinge,l1,23,0.6430769230769231,0.5813953488372093,0.646264367816092,0.5826086956521739,0.6430769230769231,0.5813953488372093,0.6470839964633068,0.5830131445904954,0.6446789964375047,0.5822510822510822,0.6430769230769231,0.5813953488372093,0.6430769230769231,0.5813953488372093,0.6425049309664694,0.5811688311688312,0.6430769230769231,0.5813953488372093,0.6421089364284631,0.5809423135004531
42,0.0001,True,log_loss,l2,23,0.7076923076923077,0.7209302325581395,0.7596711798839458,0.7564102564102564,0.7076923076923077,0.7209302325581395,0.7630858503198928,0.7543231961836614,0.7136928674296975,0.7164502164502164,0.7076923076923077,0.7209302325581395,0.7076923076923077,0.7209302325581395,0.6958996936835782,0.7081447963800905,0.7076923076923077,0.7209302325581395,0.6942413573386006,0.7095654003998738
43,0.001,False,log_loss,l1,23,0.7107692307692308,0.6744186046511628,0.711939840392879,0.6811111111111111,0.7107692307692308,0.6744186046511628,0.7116550975114512,0.6820671834625324,0.7093534450087167,0.6764069264069263,0.7107692307692308,0.6744186046511628,0.7107692307692308,0.6744186046511628,0.7093133896627846,0.6728260869565217,0.7107692307692308,0.6744186046511628,0.7098830666174808,0.6722952477249747
44,0.0001,False,squared_error,elasticnet,23,0.5323076923076923,0.4883720930232558,0.5467880978865407,0.4722222222222222,0.5323076923076923,0.4883720930232558,0.5477256781038762,0.4728682170542635,0.5382589251875995,0.4816017316017316,0.5323076923076923,0.4883720930232558,0.5323076923076923,0.4883720930232558,0.5128205128205129,0.4369047619047619,0.5323076923076923,0.4883720930232558,0.5101222879684418,0.44086378737541526
45,0.0001,True,perceptron,,23,0.6984615384615385,0.6976744186046512,0.7613010721529991,0.7204433497536946,0.6984615384615385,0.6976744186046512,0.765046474823351,0.7189254210104251,0.7050519214735087,0.6937229437229437,0.6984615384615385,0.6976744186046512,0.6984615384615385,0.6976744186046512,0.6833492404358545,0.6868347338935574,0.6984615384615385,0.6976744186046512,0.6814335970241482,0.688189694482444
46,0.01,True,log_loss,elasticnet,23,0.6707692307692308,0.627906976744186,0.6733918128654971,0.6502463054187192,0.6707692307692308,0.627906976744186,0.6729626630679263,0.6517355939970214,0.6685552944743425,0.6320346320346321,0.6707692307692308,0.627906976744186,0.6707692307692308,0.627906976744186,0.6675461993671188,0.6177777777777778,0.6707692307692308,0.627906976744186,0.6684526769489628,0.6163307493540052
47,0.001,False,hinge,,23,0.7630769230769231,0.6511627906976745,0.7832298136645963,0.6846153846153846,0.7630769230769231,0.6511627906976745,0.7813205924510273,0.6865831842576028,0.7592283786856666,0.6558441558441558,0.7630769230769231,0.6511627906976745,0.7630769230769231,0.6511627906976745,0.7568523430592395,0.6386554621848739,0.7630769230769231,0.6511627906976745,0.7579296742161463,0.637092046120774
48,0.01,False,squared_error,,23,0.5076923076923077,0.4883720930232558,0.507649776565932,0.4880952380952381,0.5076923076923077,0.4883720930232558,0.5080325567033134,0.4883720930232558,0.5076555749260971,0.4880952380952381,0.5076923076923077,0.4883720930232558,0.5076923076923077,0.4883720930232558,0.5075757575757576,0.4880952380952381,0.5076923076923077,0.4883720930232558,0.5077855477855477,0.4883720930232558
49,0.01,False,hinge,l2,23,0.7169230769230769,0.6511627906976745,0.7198325970704487,0.660633484162896,0.7169230769230769,0.6511627906976745,0.7192981954107275,0.6616857834368095,0.7150003789888577,0.6536796536796536,0.7169230769230769,0.6511627906976745,0.7169230769230769,0.6511627906976745,0.7146510917697357,0.6481178396072014,0.7169230769230769,0.6511627906976745,0.7153561906104278,0.6473566018345831
50,0.001,True,perceptron,,23,0.7107692307692308,0.627906976744186,0.7838194884802367,0.687878787878788,0.7107692307692308,0.627906976744186,0.7800191860559648,0.6904862579281185,0.7035549154854848,0.6341991341991342,0.7107692307692308,0.627906976744186,0.7107692307692308,0.627906976744186,0.6861645299145299,0.6018518518518519,0.7107692307692308,0.627906976744186,0.6885979618671927,0.599483204134367
51,0.001,True,perceptron,l2,23,0.6615384615384615,0.6976744186046512,0.7866382056837008,0.7681818181818182,0.6615384615384615,0.6976744186046512,0.7920773249943635,0.7651162790697675,0.6704881376487531,0.6915584415584416,0.6615384615384615,0.6976744186046512,0.6615384615384615,0.6976744186046512,0.6269201870095175,0.6721407624633431,0.6615384615384615,0.6976744186046512,0.6237730711432498,0.6742685671417855
52,0.01,True,squared_error,l1,23,0.49846153846153846,0.5581395348837209,0.5002116524282305,0.5615763546798029,0.49846153846153846,0.5581395348837209,0.5005958237867727,0.5613472333600641,0.5002084438717502,0.5541125541125541,0.49846153846153846,0.5581395348837209,0.49846153846153846,0.5581395348837209,0.49724302214123695,0.542296918767507,0.49846153846153846,0.5581395348837209,0.4965576067110674,0.5442772457820338
53,0.001,False,hinge,elasticnet,23,0.76,0.627906976744186,0.7618170656844689,0.6333333333333333,0.76,0.627906976744186,0.7613750767341928,0.6341085271317829,0.7586219965133025,0.6298701298701299,0.76,0.627906976744186,0.76,0.627906976744186,0.7587919616350765,0.6260869565217391,0.76,0.627906976744186,0.7592646722996117,0.6254802831142569
54,0.01,False,hinge,,23,0.7384615384615385,0.6744186046511628,0.7408456675917361,0.6811111111111111,0.7384615384615385,0.6744186046511628,0.7403466638202993,0.6820671834625324,0.7368111877510801,0.6764069264069263,0.7384615384615385,0.6744186046511628,0.7384615384615385,0.6744186046511628,0.7367769106899542,0.6728260869565217,0.7384615384615385,0.6744186046511628,0.7373600510724256,0.6722952477249747
55,0.01,False,log_loss,l1,23,0.6430769230769231,0.627906976744186,0.6497076023391812,0.6333333333333333,0.6430769230769231,0.627906976744186,0.6507926225820962,0.6341085271317829,0.6455317213673918,0.6298701298701299,0.6430769230769231,0.627906976744186,0.6430769230769231,0.627906976744186,0.6412803532008831,0.6260869565217391,0.6430769230769231,0.627906976744186,0.6405773475972151,0.6254802831142569
56,0.001,False,squared_error,l1,23,0.46153846153846156,0.4883720930232558,0.4497288550686609,0.4907407407407407,0.46153846153846156,0.4883720930232558,0.4506220185831836,0.4909560723514212,0.4564352308042144,0.49134199134199136,0.46153846153846156,0.4883720930232558,0.46153846153846156,0.4883720930232558,0.4398152252065912,0.481359649122807,0.46153846153846156,0.4883720930232558,0.44287005531576046,0.4799571603427173
57,0.001,True,hinge,l2,23,0.7476923076923077,0.627906976744186,0.7673775671406003,0.6502463054187192,0.7476923076923077,0.627906976744186,0.7655510997691093,0.6517355939970214,0.7437466838474949,0.6320346320346321,0.7476923076923077,0.627906976744186,0.7476923076923077,0.627906976744186,0.7407990974167444,0.6177777777777778,0.7476923076923077,0.627906976744186,0.7419696425578778,0.6163307493540052
58,0.0001,True,squared_error,l1,23,0.5107692307692308,0.5813953488372093,0.5084008814039506,0.5826086956521739,0.5107692307692308,0.5813953488372093,0.5087392170275621,0.5830131445904954,0.5080914121124839,0.5822510822510822,0.5107692307692308,0.5813953488372093,0.5107692307692308,0.5813953488372093,0.5046918881614891,0.5811688311688312,0.5107692307692308,0.5813953488372093,0.5062112238134245,0.5809423135004531
59,0.01,True,log_loss,l2,23,0.7107692307692308,0.6744186046511628,0.7176395939086294,0.7032019704433498,0.7107692307692308,0.6744186046511628,0.7167434595860992,0.7051208614961623,0.7079890851208974,0.6785714285714286,0.7107692307692308,0.6744186046511628,0.7107692307692308,0.6744186046511628,0.7065434565434565,0.6655555555555556,0.7107692307692308,0.6744186046511628,0.707518635210943,0.6642894056847546
