,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,friedman_mse,2.0,exponential,20.0,log2,,4,5,100,False,0.7661538461538462,0.6046511627906976,0.7785066602471513,0.6190476190476191,0.7661538461538462,0.6046511627906976,0.7770628248336482,0.6201550387596899,0.7630751155916016,0.6082251082251082,0.7661538461538462,0.6046511627906976,0.7661538461538462,0.6046511627906976,0.7619873573851372,0.5968008825151683,0.7661538461538462,0.6046511627906976,0.7628594131739368,0.5954925024692467
1,friedman_mse,0.5,exponential,15.0,0.5,30.0,2,2,100,False,0.7692307692307693,0.6511627906976745,0.772936489518063,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7722268835056024,0.6717054263565891,0.7674334874554688,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.76750507911981,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.768059765226904,0.6430816198258059
2,friedman_mse,0.5,log_loss,5.0,sqrt,30.0,4,2,100,False,0.7692307692307693,0.627906976744186,0.772936489518063,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7722268835056024,0.6411498708010336,0.7674334874554688,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.76750507911981,0.6228070175438596,0.7692307692307693,0.627906976744186,0.768059765226904,0.6217870257037944
3,squared_error,2.0,exponential,20.0,0.7,10.0,2,5,100,False,0.7661538461538462,0.6511627906976745,0.7770200207386138,0.6846153846153846,0.7661538461538462,0.6511627906976745,0.7756803553788478,0.6865831842576028,0.763245660577579,0.6558441558441558,0.7661538461538462,0.6511627906976745,0.7661538461538462,0.6511627906976745,0.7623720464865698,0.6386554621848739,0.7661538461538462,0.6511627906976745,0.7632021976330451,0.637092046120774
4,squared_error,0.5,log_loss,,0.7,,1,10,100,True,0.7692307692307693,0.627906976744186,0.7693418452652379,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7692892303015422,0.6411498708010336,0.7686273023573107,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.768801752838403,0.6228070175438596,0.7692307692307693,0.627906976744186,0.7690775490906384,0.6217870257037944
5,squared_error,1.0,log_loss,15.0,sqrt,10.0,1,10,100,True,0.7692307692307693,0.5813953488372093,0.7690703670003034,0.5855555555555556,0.7692307692307693,0.5813953488372093,0.7692016051888664,0.5861498708010336,0.7689683923292656,0.5833333333333333,0.7692307692307693,0.5813953488372093,0.7692307692307693,0.5813953488372093,0.7690120824449183,0.5793478260869566,0.7692307692307693,0.5813953488372093,0.7692089005521842,0.578665318503539
6,squared_error,0.5,exponential,15.0,0.5,10.0,1,5,200,True,0.7692307692307693,0.627906976744186,0.7696011265890234,0.6400462962962963,0.7692307692307693,0.627906976744186,0.7694562041444891,0.6411498708010336,0.7684567573713332,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7686701022122255,0.6228070175438596,0.7692307692307693,0.627906976744186,0.7689854774101563,0.6217870257037944
7,squared_error,2.0,log_loss,15.0,0.7,10.0,1,10,200,False,0.5015384615384615,0.46511627906976744,0.5003053901358987,0.46600877192982454,0.5015384615384615,0.46511627906976744,0.5006880674677285,0.46618727050183595,0.500303191086182,0.46645021645021645,0.5015384615384615,0.46511627906976744,0.5015384615384615,0.46511627906976744,0.4998290013679891,0.46395663956639566,0.5015384615384615,0.46511627906976744,0.5006387456592655,0.4633768198147097
8,squared_error,0.5,exponential,,0.7,30.0,2,10,50,False,0.7692307692307693,0.627906976744186,0.7769536475958134,0.6400462962962963,0.7692307692307693,0.627906976744186,0.77585037925795,0.6411498708010336,0.7667513075115591,0.6309523809523809,0.7692307692307693,0.627906976744186,0.7692307692307693,0.627906976744186,0.7663640981893817,0.6228070175438596,0.7692307692307693,0.627906976744186,0.7670807659497285,0.6217870257037944
9,friedman_mse,1.0,log_loss,15.0,log2,30.0,1,5,50,False,0.7692307692307693,0.6511627906976745,0.7747563352826511,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.7738521517468887,0.6717054263565891,0.767092397483514,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7669716350704103,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7676070165530113,0.6430816198258059
10,friedman_mse,1.0,exponential,20.0,log2,30.0,1,2,50,True,0.7692307692307693,0.6511627906976745,0.7769536475958134,0.6702380952380952,0.7692307692307693,0.6511627906976745,0.77585037925795,0.6717054263565891,0.7667513075115591,0.6547619047619048,0.7692307692307693,0.6511627906976745,0.7692307692307693,0.6511627906976745,0.7663640981893817,0.6442360728075014,0.7692307692307693,0.6511627906976745,0.7670807659497285,0.6430816198258059
11,friedman_mse,2.0,exponential,5.0,0.5,,2,5,100,False,0.7661538461538462,0.627906976744186,0.7702084786483763,0.6502463054187192,0.7661538461538462,0.627906976744186,0.7694637502310137,0.6517355939970214,0.7642689304934436,0.6320346320346321,0.7661538461538462,0.627906976744186,0.7661538461538462,0.627906976744186,0.76427698885326,0.6177777777777778,0.7661538461538462,0.627906976744186,0.7648594618086143,0.6163307493540052
12,squared_error,1.0,log_loss,20.0,0.7,30.0,2,5,200,False,0.7261538461538461,0.5813953488372093,0.7367785559043709,0.5902777777777778,0.7261538461538461,0.5813953488372093,0.7355681459327922,0.5910852713178295,0.722959145001137,0.5844155844155844,0.7261538461538461,0.5813953488372093,0.7261538461538461,0.5813953488372093,0.721040804714097,0.575657894736842,0.7261538461538461,0.5813953488372093,0.7220866540995002,0.5745104039167687
