,criterion,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,friedman_mse,2.0,exponential,20.0,log2,,4,5,100,False,0.7920305676855895,0.7344398340248963,0.7916605065742097,0.7361628709454796,0.7920305676855895,0.7344398340248963,0.7925856593526595,0.7381991873061692,0.7922532140386676,0.7363586130681032,0.7920305676855895,0.7344398340248963,0.7920305676855895,0.7344398340248963,0.7917843362154728,0.734435261707989,0.7920305676855895,0.7344398340248963,0.7921360954584966,0.7344947018277838
1,friedman_mse,0.5,exponential,15.0,0.5,30.0,2,2,100,False,0.7931222707423581,0.7717842323651453,0.7935662685072599,0.7712296663909567,0.7931222707423581,0.7717842323651453,0.7949934041801584,0.7722595746287353,0.7942077414098163,0.771791683934245,0.7931222707423581,0.7717842323651453,0.7931222707423581,0.7717842323651453,0.7930630177127694,0.7713906279643331,0.7931222707423581,0.7717842323651453,0.7932350426373815,0.7719023136853889
2,friedman_mse,0.5,log_loss,5.0,sqrt,30.0,4,2,100,False,0.7931222707423581,0.7676348547717843,0.7926448694457169,0.7680121228819397,0.7931222707423581,0.7676348547717843,0.7934121215296044,0.7696469513592799,0.7930787509662127,0.7687525901367592,0.7931222707423581,0.7676348547717843,0.7931222707423581,0.7676348547717843,0.7927932686640435,0.7675347939920076,0.7931222707423581,0.7676348547717843,0.7931988876647053,0.7677949520194266
3,squared_error,2.0,exponential,20.0,0.7,10.0,2,5,100,False,0.7882096069868996,0.6970954356846473,0.7879535136184392,0.7020676691729324,0.7882096069868996,0.6970954356846473,0.7881255166271067,0.7046532305868405,0.7871058539050525,0.7004765851636967,0.7882096069868996,0.6970954356846473,0.7882096069868996,0.6970954356846473,0.7874150636424537,0.6969075717116031,0.7882096069868996,0.6970954356846473,0.788053535972812,0.6965005331033406
4,squared_error,0.5,log_loss,,0.7,,1,10,100,True,0.7931222707423581,0.7593360995850622,0.7927825464949929,0.759228650137741,0.7931222707423581,0.7593360995850622,0.7937380209407074,0.7606254929529166,0.7934013196643852,0.7599806603121978,0.7931222707423581,0.7593360995850622,0.7931222707423581,0.7593360995850622,0.7928926536381922,0.7591328921974083,0.7931222707423581,0.7593360995850622,0.7932314329722074,0.7595102773459084
5,squared_error,1.0,log_loss,15.0,sqrt,10.0,1,10,100,True,0.7931222707423581,0.7551867219917012,0.7927825464949929,0.7546181417149159,0.7931222707423581,0.7551867219917012,0.7937380209407074,0.7556740765146601,0.7934013196643852,0.7551457383616522,0.7931222707423581,0.7551867219917012,0.7931222707423581,0.7551867219917012,0.7928926536381922,0.7547644918162846,0.7931222707423581,0.7551867219917012,0.7932314329722074,0.7553133910443263
6,squared_error,0.5,exponential,15.0,0.5,10.0,1,5,200,True,0.7931222707423581,0.7593360995850622,0.7926448694457169,0.759228650137741,0.7931222707423581,0.7593360995850622,0.7934121215296044,0.7606254929529166,0.7930787509662127,0.7599806603121978,0.7931222707423581,0.7593360995850622,0.7931222707423581,0.7593360995850622,0.7927932686640435,0.7591328921974083,0.7931222707423581,0.7593360995850622,0.7931988876647053,0.7595102773459084
7,squared_error,2.0,log_loss,15.0,0.7,10.0,1,10,200,False,0.42139737991266374,0.5020746887966805,0.4198540617100238,0.5028604907637166,0.42139737991266374,0.5020746887966805,0.4212713947532646,0.5043198372739264,0.4198900638088673,0.5028664180135378,0.42139737991266374,0.5020746887966805,0.42139737991266374,0.5020746887966805,0.41987005987952397,0.5019975203196032,0.42139737991266374,0.5020746887966805,0.42133238757082797,0.5023319170536047
8,squared_error,0.5,exponential,,0.7,30.0,2,10,50,False,0.7931222707423581,0.7551867219917012,0.7927825464949929,0.7553030303030304,0.7931222707423581,0.7551867219917012,0.7937380209407074,0.756815038350308,0.7934013196643852,0.7560436524381821,0.7931222707423581,0.7551867219917012,0.7931222707423581,0.7551867219917012,0.7928926536381922,0.7550348867258161,0.7931222707423581,0.7551867219917012,0.7932314329722074,0.7553638631352338
9,friedman_mse,1.0,log_loss,15.0,log2,30.0,1,5,50,False,0.7931222707423581,0.7468879668049793,0.7926136770497673,0.7475540857103486,0.7931222707423581,0.7468879668049793,0.7932868157605493,0.7492859948643091,0.7929174666171265,0.7481696366901506,0.7931222707423581,0.7468879668049793,0.7931222707423581,0.7468879668049793,0.7927368586646559,0.7468182209592698,0.7931222707423581,0.7468879668049793,0.7931759357152026,0.7470448949578256
