,bootstrap,max_features,max_samples,n_estimators,random_state,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,False,1.0,0.5,10,23,False,0.7854803493449781,0.7012448132780082,0.7857579344457917,0.708158263305322,0.7854803493449781,0.7012448132780082,0.7856159875192393,0.7110574520264538,0.7838054982431952,0.7053115071142423,0.7854803493449781,0.7012448132780082,0.7854803493449781,0.7012448132780082,0.7843437316068276,0.7008275862068966,0.7854803493449781,0.7012448132780082,0.7851128714296363,0.7002249248819573
1,True,1.0,0.3,5,23,False,0.7712882096069869,0.7468879668049793,0.7729883959240026,0.7465596330275229,0.7712882096069869,0.7468879668049793,0.7748100241208051,0.7467452129886939,0.773073518185109,0.7450269374222959,0.7712882096069869,0.7468879668049793,0.7712882096069869,0.7468879668049793,0.7712875962952314,0.7454680817909518,0.7712882096069869,0.7468879668049793,0.7713059956478968,0.7464935543010827
2,True,0.3,0.5,20,23,True,0.787117903930131,0.7717842323651453,0.7873223942112522,0.7712296663909567,0.787117903930131,0.7717842323651453,0.7886369745898878,0.7722595746287353,0.7880006833677606,0.771791683934245,0.787117903930131,0.7717842323651453,0.787117903930131,0.7717842323651453,0.7870262729597768,0.7713906279643331,0.787117903930131,0.7717842323651453,0.7872432936790368,0.7719023136853889
3,True,0.3,0.3,10,23,True,0.7740174672489083,0.7385892116182573,0.7734707555634139,0.7392517569243489,0.7740174672489083,0.7385892116182573,0.7740174672489083,0.7409743747201871,0.7734707555634139,0.7398466639038541,0.7740174672489083,0.7385892116182573,0.7740174672489083,0.7385892116182573,0.7734707555634139,0.7385171790235081,0.7740174672489083,0.7385892116182573,0.7740174672489083,0.7387512849564428
4,False,0.5,0.3,10,23,False,0.7740174672489083,0.7261410788381742,0.7738915487032064,0.7260330578512397,0.7740174672489083,0.7261410788381742,0.7750248156145231,0.7274373306813896,0.7745459845573222,0.726688769167012,0.7740174672489083,0.7261410788381742,0.7740174672489083,0.7261410788381742,0.7738490108309449,0.7259098428453268,0.7740174672489083,0.7261410788381742,0.7741522323832789,0.7263392811177579
5,True,1.0,0.3,10,23,False,0.7789301310043668,0.7634854771784232,0.7784188984359685,0.7629239040529363,0.7789301310043668,0.7634854771784232,0.7788790077475269,0.7639668255716977,0.7782609007312752,0.7634687111479486,0.7789301310043668,0.7634854771784232,0.7789301310043668,0.7634854771784232,0.7783340637948326,0.7630775598903089,0.7789301310043668,0.7634854771784232,0.7788987590459703,0.7636078523648575
6,False,0.3,0.3,5,23,True,0.7631004366812227,0.7261410788381742,0.7626753635458464,0.7265119162419066,0.7631004366812227,0.7261410788381742,0.7635862345502241,0.7281188783247466,0.7631724511995375,0.727137726205277,0.7631004366812227,0.7261410788381742,0.7631004366812227,0.7261410788381742,0.7627925682037598,0.7260231500620091,0.7631004366812227,0.7261410788381742,0.7632123888548455,0.7263297648800385
7,True,1.0,1.0,5,23,True,0.7876637554585153,0.7593360995850622,0.7873912877631981,0.759228650137741,0.7876637554585153,0.7593360995850622,0.7884130416206376,0.7606254929529166,0.7880371216836652,0.7599806603121978,0.7876637554585153,0.7593360995850622,0.7876637554585153,0.7593360995850622,0.7874580037131205,0.7591328921974083,0.7876637554585153,0.7593360995850622,0.7877828748900598,0.7595102773459084
8,False,0.3,1.0,5,23,False,0.7931222707423581,0.7634854771784232,0.7944396706050841,0.7628249446902655,0.7931222707423581,0.7634854771784232,0.7961832880704569,0.7633974061800022,0.7947453559067705,0.7625707970714186,0.7931222707423581,0.7634854771784232,0.7931222707423581,0.7634854771784232,0.7931148120305009,0.7626846333246955,0.7931222707423581,0.7634854771784232,0.7931758378547873,0.7634282740460142
9,True,1.0,0.5,10,23,False,0.7805676855895196,0.7510373443983402,0.7802405967352184,0.7509297520661157,0.7805676855895196,0.7510373443983402,0.781221863298122,0.7523284523850348,0.7808432423649782,0.7516576875259013,0.7805676855895196,0.7510373443983402,0.7805676855895196,0.7510373443983402,0.7803320622891204,0.7508271298593879,0.7805676855895196,0.7510373443983402,0.7806854972397193,0.7512175282888708
