,bootstrap,max_features,max_samples,n_estimators,random_state,warm_start,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,False,1.0,0.5,10,23,False,0.813777226846113,0.7746598639455783,0.8134696588430512,0.774454553524448,0.813777226846113,0.7746598639455783,0.8138585903315295,0.7746721825708461,0.8136511091339893,0.774481832244144,0.813777226846113,0.7746598639455783,0.813777226846113,0.7746598639455783,0.8135466088471995,0.7744676317276011,0.813777226846113,0.7746598639455783,0.8138041671158752,0.7746654629422184
1,True,1.0,0.3,5,23,False,0.7951478661236054,0.7653061224489796,0.7948497051445819,0.765117869277604,0.7951478661236054,0.7653061224489796,0.7953499479974369,0.7654202152801163,0.795143434198708,0.7652645464437916,0.7951478661236054,0.7653061224489796,0.7951478661236054,0.7653061224489796,0.7949464109930289,0.765166582150183,0.7951478661236054,0.7653061224489796,0.7951988558967683,0.7653385736812579
2,True,0.3,0.5,20,23,True,0.8134230564901718,0.7769274376417233,0.813173012476706,0.7767595987476312,0.8134230564901718,0.7769274376417233,0.813391530058214,0.7768904143562618,0.8130233161679922,0.7765980236657042,0.8134230564901718,0.7769274376417233,0.8134230564901718,0.7769274376417233,0.8130916073262411,0.7766647310926201,0.8134230564901718,0.7769274376417233,0.8134007554530697,0.7768948707141485
3,True,0.3,0.3,10,23,True,0.804391712413671,0.7721088435374149,0.8041552432287501,0.7719372951156043,0.804391712413671,0.7721088435374149,0.8043465228247219,0.7720690641932271,0.8039069623874884,0.7717665518238521,0.804391712413671,0.7721088435374149,0.804391712413671,0.7721088435374149,0.8040137109548606,0.771836002541848,0.804391712413671,0.7721088435374149,0.8043517783885871,0.7720730611117669
4,False,0.5,0.3,10,23,False,0.8069063219408535,0.7752267573696145,0.8066138661827145,0.775150437267563,0.8069063219408535,0.7752267573696145,0.8071015856350096,0.775554933808436,0.806917271582327,0.7753901959125564,0.8069063219408535,0.7752267573696145,0.8069063219408535,0.7752267573696145,0.8067155701930369,0.7751550593655856,0.8069063219408535,0.7752267573696145,0.8069540636409837,0.7752756941025231
5,True,1.0,0.3,10,23,False,0.8041792102001063,0.7675736961451247,0.8038724866396245,0.767414501308392,0.8041792102001063,0.7675736961451247,0.8041877381953003,0.7677519943622655,0.8038975451286701,0.7676023605875673,0.8041792102001063,0.7675736961451247,0.8041792102001063,0.7675736961451247,0.8038847881440085,0.7674600303841423,0.8041792102001063,0.7675736961451247,0.804183247065592,0.7676144992388106
6,False,0.3,0.3,5,23,True,0.8017708517797061,0.7630385487528345,0.8014668559464996,0.7629421181304228,0.8017708517797061,0.7630385487528345,0.8019383683647177,0.763335258360255,0.801739035536815,0.7631654029239403,0.8017708517797061,0.7630385487528345,0.8017708517797061,0.7630385487528345,0.8015638209853828,0.7629555903397632,0.8017708517797061,0.7630385487528345,0.8018155722473393,0.7630888265789382
7,True,1.0,1.0,5,23,True,0.8123959624579423,0.7687074829931972,0.812135911731158,0.768637829551535,0.8123959624579423,0.7687074829931972,0.8126749701535949,0.7690480109302122,0.812505954883511,0.7688735550697082,0.8123959624579423,0.7687074829931972,0.8123959624579423,0.7687074829931972,0.8122368227793979,0.7686360297485963,0.8123959624579423,0.7687074829931972,0.8124515258250252,0.7687581917474301
8,False,0.3,1.0,5,23,False,0.817283513369931,0.7732426303854876,0.8174958006385288,0.7733263916005033,0.817283513369931,0.7732426303854876,0.8183842028305098,0.7738196520889292,0.8179583542683921,0.7735662312589682,0.817283513369931,0.7732426303854876,0.817283513369931,0.7732426303854876,0.8172426885687627,0.7732073545615021,0.817283513369931,0.7732426303854876,0.8173499745983731,0.7732923372283762
9,True,1.0,0.5,10,23,False,0.8110501151053657,0.7721088435374149,0.810749173211559,0.7719025581805921,0.8110501151053657,0.7721088435374149,0.8110679359242922,0.7721455164897391,0.8108013581717404,0.7719711266443585,0.8110501151053657,0.7721088435374149,0.8110501151053657,0.7721088435374149,0.8107742847283106,0.7719328658104168,0.8110501151053657,0.7721088435374149,0.8110580471477485,0.7721232090661494
10,True,0.3,1.0,20,23,True,0.8164689215512662,0.7735260770975056,0.8161667479987129,0.7733198550364789,0.8164689215512662,0.7735260770975056,0.8165893337109217,0.7735384504211673,0.8164054789430897,0.7733470209756739,0.8164689215512662,0.7735260770975056,0.8164689215512662,0.7735260770975056,0.8162604782074392,0.7733328776734003,0.8164689215512662,0.7735260770975056,0.8165035525169073,0.773531704265198
11,False,1.0,0.3,10,23,True,0.8068000708340712,0.7706916099773242,0.8064858090204328,0.7704935162809958,0.8068000708340712,0.7706916099773242,0.8068841134219471,0.7707698048574539,0.80666456592447,0.7706122802147521,0.8068000708340712,0.7706916099773242,0.8068000708340712,0.7706916099773242,0.806561294578623,0.7705389466883595,0.8068000708340712,0.7706916099773242,0.8068282329529094,0.7707167742557252
12,True,0.5,0.5,5,23,True,0.8057729768018417,0.7670068027210885,0.8054821793583007,0.7668759551767971,0.8057729768018417,0.7670068027210885,0.8059760451544523,0.7672409509582413,0.8057905347563786,0.7670860986584588,0.8057729768018417,0.7670068027210885,0.8057729768018417,0.7670068027210885,0.8055836949755644,0.7669097222222222,0.8057729768018417,0.7670068027210885,0.8058219623369056,0.7670526462899975
13,True,0.5,1.0,20,23,True,0.8164689215512662,0.7740929705215419,0.816164864334509,0.7738881283708674,0.8164689215512662,0.7740929705215419,0.8165716188017993,0.7740969097936704,0.8163804005918983,0.7738973787082001,0.8164689215512662,0.7740929705215419,0.8164689215512662,0.7740929705215419,0.8162525035406556,0.7738926912301854,0.8164689215512662,0.7740929705215419,0.8165001893752966,0.7740948779433643
