,alpha,fit_intercept,random_state,solver,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,1.0,True,23,cholesky,0.7735080573755977,0.7791950113378685,0.7732739218937565,0.779140270210364,0.7735080573755977,0.7791950113378685,0.7734359033344064,0.7791732392985201,0.7728139728160623,0.7786971671855555,0.7735080573755977,0.7791950113378685,0.7735080573755977,0.7791950113378685,0.7729844576786327,0.7788417596886368,0.7735080573755977,0.7791950113378685,0.7734126819145722,0.779107324758272
1,0.5,True,23,sag,0.77361430848238,0.7794784580498866,0.7733671406809999,0.7794632179274114,0.77361430848238,0.7794784580498866,0.7735418437350028,0.7794719031584995,0.7729440732014282,0.7789382502484008,0.77361430848238,0.7794784580498866,0.77361430848238,0.7794784580498866,0.7731040239977982,0.779100151398724,0.77361430848238,0.7794784580498866,0.7735266569278962,0.7793748123920339
2,0.5,True,23,svd,0.7736497255179742,0.7794784580498866,0.7734049706656788,0.7794632179274114,0.7736497255179742,0.7794784580498866,0.773577309161676,0.7794719031584995,0.7729753652348654,0.7789382502484008,0.7736497255179742,0.7794784580498866,0.7736497255179742,0.7794784580498866,0.7731372269172831,0.779100151398724,0.7736497255179742,0.7794784580498866,0.7735607447624147,0.7793748123920339
3,2.0,True,23,sag,0.7728705507349035,0.7786281179138322,0.7726114654104996,0.7784978363898619,0.7728705507349035,0.7786281179138322,0.7727976777402235,0.7785886906105254,0.7722172784126036,0.7782320489615737,0.7728705507349035,0.7786281179138322,0.7728705507349035,0.7786281179138322,0.7723685043827557,0.7783317537054883,0.7728705507349035,0.7786281179138322,0.7727883908115128,0.7785752777836623
4,1.0,True,23,lsqr,0.773295555162033,0.7791950113378685,0.7730559358073554,0.779140270210364,0.773295555162033,0.7791950113378685,0.7732229614920426,0.7791732392985201,0.7726095017146446,0.7786971671855555,0.773295555162033,0.7791950113378685,0.773295555162033,0.7791950113378685,0.7727761025221849,0.7788417596886368,0.773295555162033,0.7791950113378685,0.7732028232463267,0.779107324758272
5,1.0,False,23,lsqr,0.7732601381264388,0.778344671201814,0.7729986310533061,0.7782806566870492,0.7732601381264388,0.778344671201814,0.7731878100122782,0.7783196540351244,0.7726144339662615,0.7778545826850574,0.7732601381264388,0.778344671201814,0.7732601381264388,0.778344671201814,0.772762733744399,0.7779950791748155,0.7732601381264388,0.778344671201814,0.7731803124421145,0.7782597702809716
6,1.0,False,23,auto,0.7735080573755977,0.7791950113378685,0.7732739218937565,0.779140270210364,0.7735080573755977,0.7791950113378685,0.7734359033344064,0.7791732392985201,0.7728139728160623,0.7786971671855555,0.7735080573755977,0.7791950113378685,0.7735080573755977,0.7791950113378685,0.7729844576786327,0.7788417596886368,0.7735080573755977,0.7791950113378685,0.7734126819145722,0.779107324758272
7,2.0,True,23,svd,0.7732247210908447,0.7786281179138322,0.7729652534358373,0.7784978363898619,0.7732247210908447,0.7786281179138322,0.7731522252548128,0.7785886906105254,0.7725747824824272,0.7782320489615737,0.7732247210908447,0.7786281179138322,0.7732247210908447,0.7786281179138322,0.7727249718924123,0.7783317537054883,0.7732247210908447,0.7786281179138322,0.773143568464211,0.7785752777836623
8,1.0,True,23,saga,0.7735080573755977,0.7791950113378685,0.7732739218937565,0.779140270210364,0.7735080573755977,0.7791950113378685,0.7734359033344064,0.7791732392985201,0.7728139728160623,0.7786971671855555,0.7735080573755977,0.7791950113378685,0.7735080573755977,0.7791950113378685,0.7729844576786327,0.7788417596886368,0.7735080573755977,0.7791950113378685,0.7734126819145722,0.779107324758272
9,0.5,False,23,auto,0.7736497255179742,0.7794784580498866,0.7734049706656788,0.7794632179274114,0.7736497255179742,0.7794784580498866,0.773577309161676,0.7794719031584995,0.7729753652348654,0.7789382502484008,0.7736497255179742,0.7794784580498866,0.7736497255179742,0.7794784580498866,0.7731372269172831,0.779100151398724,0.7736497255179742,0.7794784580498866,0.7735607447624147,0.7793748123920339
