,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,random_state,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
0,entropy,,sqrt,30.0,4,10,100,23,0.7745633187772926,0.7427385892116183,0.7743695866023657,0.747567417292188,0.7745633187772926,0.7427385892116183,0.7744873967087401,0.7502967549029447,0.7732383866308417,0.7460284569691946,0.7745633187772926,0.7427385892116183,0.7745633187772926,0.7427385892116183,0.7736080977527953,0.7426278076340085,0.7745633187772926,0.7427385892116183,0.7743305338217429,0.7423397755322233
1,gini,5.0,sqrt,10.0,1,2,10,23,0.7379912663755459,0.7510373443983402,0.7413451796430519,0.7514325646401119,0.7379912663755459,0.7510373443983402,0.7434708993196403,0.7512553969455247,0.7404755618370167,0.7485149882580466,0.7379912663755459,0.7510373443983402,0.7379912663755459,0.7510373443983402,0.7379384827753916,0.7491325468424705,0.7379912663755459,0.7510373443983402,0.7377557703133195,0.7503117072341994
2,gini,,sqrt,,4,5,250,23,0.7849344978165939,0.7717842323651453,0.7854132715648325,0.7712296663909567,0.7849344978165939,0.7717842323651453,0.7868495928095481,0.7722595746287353,0.7860270408144978,0.771791683934245,0.7849344978165939,0.7717842323651453,0.7849344978165939,0.7717842323651453,0.7848768107044208,0.7713906279643331,0.7849344978165939,0.7717842323651453,0.78504987204094,0.7719023136853889
3,entropy,,0.5,,4,5,10,23,0.7860262008733624,0.7593360995850622,0.7863624714668002,0.7586896551724138,0.7860262008733624,0.7593360995850622,0.7877381238944999,0.7596234082129061,0.7870138620911292,0.759082746235668,0.7860262008733624,0.7593360995850622,0.7860262008733624,0.7593360995850622,0.7859524754788875,0.7588336783988958,0.7860262008733624,0.7593360995850622,0.7861476309348507,0.759427448891638
4,entropy,15.0,log2,,2,2,250,23,0.7876637554585153,0.7510373443983402,0.7871560990511102,0.7520333609043286,0.7876637554585153,0.7510373443983402,0.7878699908740237,0.7538831058440213,0.7874995071867111,0.7525556016024313,0.7876637554585153,0.7510373443983402,0.7876637554585153,0.7510373443983402,0.7872879850878803,0.7509987601598016,0.7876637554585153,0.7510373443983402,0.7877271972094017,0.7511659585268023
5,entropy,5.0,0.5,30.0,1,10,100,23,0.7685589519650655,0.7136929460580913,0.7807346226418705,0.7356144223693892,0.7685589519650655,0.7136929460580913,0.7784031112356739,0.7402862124029446,0.7628916969622391,0.7211631440806741,0.7685589519650655,0.7136929460580913,0.7685589519650655,0.7136929460580913,0.7630232739768822,0.7108251456395096,0.7685589519650655,0.7136929460580913,0.7648025990445125,0.7092717537461113
6,entropy,5.0,log2,,2,5,50,23,0.7701965065502183,0.6846473029045643,0.7756534006534006,0.6974155211912944,0.7701965065502183,0.6846473029045643,0.7742581720474734,0.7009471560365601,0.7661191759922871,0.6904613896947092,0.7701965065502183,0.6846473029045643,0.7701965065502183,0.6846473029045643,0.7668029375491137,0.6830703211517165,0.7701965065502183,0.6846473029045643,0.7681849339749028,0.6818643939289506
7,gini,5.0,0.7,30.0,2,10,250,23,0.7723799126637555,0.7634854771784232,0.7718251219407327,0.7648620689655172,0.7723799126637555,0.7634854771784232,0.7724195405725427,0.766850479324653,0.7719098814739238,0.7652645393010085,0.7723799126637555,0.7634854771784232,0.7723799126637555,0.7634854771784232,0.7718654205942386,0.7634691874580298,0.7723799126637555,0.7634854771784232,0.7723976537696009,0.7635750706405868
8,gini,15.0,0.7,10.0,4,2,10,23,0.7587336244541485,0.7510373443983402,0.7581719941133713,0.7527950310559006,0.7587336244541485,0.7510373443983402,0.7588940902657989,0.7548722971057447,0.7584187443475809,0.7530045586406962,0.7587336244541485,0.7510373443983402,0.7587336244541485,0.7510373443983402,0.7582726734300071,0.7510330578512396,0.7587336244541485,0.7510373443983402,0.7587912433321663,0.7510887829635472
9,entropy,,,,4,5,100,23,0.7860262008733624,0.7634854771784232,0.7864324992519851,0.7631905221104835,0.7860262008733624,0.7634854771784232,0.7878389167164479,0.7644686607382222,0.7870676235408246,0.7639176681862135,0.7860262008733624,0.7634854771784232,0.7860262008733624,0.7634854771784232,0.7859608965188365,0.7632245721081752,0.7860262008733624,0.7634854771784232,0.7861445650159409,0.7636485428473282
10,entropy,15.0,0.5,30.0,1,5,50,23,0.777292576419214,0.7468879668049793,0.7768590491577656,0.7490675507666804,0.777292576419214,0.7468879668049793,0.7771897055436161,0.7512471347283817,0.7763774579436127,0.7490675507666804,0.777292576419214,0.7468879668049793,0.777292576419214,0.7468879668049793,0.7765725436179982,0.7468879668049793,0.777292576419214,0.7468879668049793,0.7771956489267425,0.7468879668049793
11,gini,,sqrt,,1,5,250,23,0.7931222707423581,0.7717842323651453,0.7937986492673992,0.7712296663909567,0.7931222707423581,0.7717842323651453,0.795320500948742,0.7722595746287353,0.7943690257589026,0.771791683934245,0.7931222707423581,0.7717842323651453,0.7931222707423581,0.7717842323651453,0.7930837385515969,0.7713906279643331,0.7931222707423581,0.7717842323651453,0.793222454438337,0.7719023136853889
12,gini,20.0,sqrt,30.0,1,10,100,23,0.7756550218340611,0.7510373443983402,0.7752534685804322,0.7527950310559006,0.7756550218340611,0.7510373443983402,0.7755449185225823,0.7548722971057447,0.7746552995050362,0.7530045586406962,0.7756550218340611,0.7510373443983402,0.7756550218340611,0.7510373443983402,0.77488710002915,0.7510330578512396,0.7756550218340611,0.7510373443983402,0.7755330155659912,0.7510887829635472
13,entropy,15.0,0.7,10.0,2,5,250,23,0.7587336244541485,0.7012448132780082,0.7733603964776515,0.7262277951933125,0.7587336244541485,0.7012448132780082,0.770799288535793,0.7310752394455357,0.7524512234313903,0.7093521204586268,0.7587336244541485,0.7012448132780082,0.7587336244541485,0.7012448132780082,0.7519941684890139,0.6974473427256243,0.7587336244541485,0.7012448132780082,0.7540026156309414,0.69561893097818
